owner_wallet,associated_token_address,mint_account,metadata_account
73mraysjrvNrFA6tKxJ3usZJ1xSZQAFG2VwnkiSjGqr1,34D59td1YKNNtDSeTDcVWe2xQavTEdSxU8VRt1drBpzG,5y2T2WQFrkYgJB3AytA1fbjcbNkLqdKXC7zbmihXSe26,9H8eHWHDCJM3NckM9XBwwvoh8ANsXSQXPuy7tXo92Vwt
E4iyUyVSHxCGr6a5qgLMSsp2Psa2YdRMzDoCi1eMgNiu,8WFSEqo2QuDvXUf6ed4tRUFfCKKpgoc9Uwy2Zqwknybz,54AyXDj7VYq4u4ksZJun7F474kZpBgHUGUSedGoCR12c,C9t9Yjec8WG7VJvBfym4B4neXTSPDHTcSHfND2GD3cct
8zhNJULo8Ep7M1f2aYMtod1abcru1viGK5Tk73JGSgUM,CyoYpXAqYwpz8AHiWE3qiRpNK9iGGgPzj9Z991jxMswu,12T9hYAW9gqPeUW3HUcUMnzV6GYWzz8dnqpuGCm5Ju2y,BUwSRGdCRZVVMgmVy9z6wDq8CkqQXnpmrPPwDi5aXYKZ
J5NomhREaKMqLJmXCtR7kwMgwCuBmdEUm4WRaKbAbovh,8LLTbeTNE7jb681dfQSVo8inVEuyM6H7T22ufNZak2We,HputybCNdiM9PSNxUHYNdSr271aQatKVeRd87fVApvMq,xcERhQzqf1P5SoSsZviLSxEByLBNkpvKma1L6nR9Sjy
EH1BcsKHuS6eEJdwqdNGGws56emaKR9Za1m14oaf3hua,8ZdKD6z1q6HBXGdkaAGbou3D8PpSGniMrtHJQD5tZoVA,GdPG4dkV5FN1doWBNtjWJFv9sQtAdZFgTNBTGWcK4gLR,EWuf1jGSFNqMw42bUuiVcBVWmsQnbpKGaKbiar9hy41q
whnaZi1QJkreGs86A7Dac8ynFnKdjfuZiwGNDRJji3z,7MEfTBzDbkbwW8vtmxZhZm2VNXi6rdnEvniUwo52htVg,HBBnLQaRvSsyQoXqATCSCimvqx3dcWTKC4LY4h3DR5ft,6M4BzUgNWmFHVwrdzJpcV7tgriPMmKHm4LER1YB3wDhb
2tFLe9trxeYgdGpjT8BppGobtespbhGXkktyR2VVZBDg,3YWqLodsNPHjQWJHmWBxY1vKaezcP6xeLXKi9fPNtznN,H8gZ8xRpkTL7JyZZ5fh6ciwKiBCnfCnjnHvA8QwFhPVF,2Rdo4o529ZQb1yj1Rpv7ARcyZttw2KpTmMFJvvDTi1gt
4GwZMZV59vcHrnFeust3mEDpw3g44chtDE6Gqeer6Pin,3t7fv7gy5MYUN5MmcZbJ8iWFNbqK4Vo4NZpUabaqVqCj,BD6ZUX2w72YoqW5br4PKhHqJ63SVfoJpMmAPSU3YaCVF,2voCL3ibdbVgJZoC9zmMXKYBrfbexJvx8rJCHSFSeswe
FXFUm187GBVzhSizxiN1B67vyeXto6CtCoJL55maJTFa,4VnWYp5xgvRiPJsL4ngh74KjmhKKvhfnQ5nJcURw9TYg,482DG3BTLKwmUW3K1CqZUmG3g6kotDxVVKHFYPYUMWLX,55bac5bmHfUPrXR7yDjNRth1EaEtJP1ZPNcLbks9jWsM
22CgmtsmGmw6dMkvZ3mhzBPfDu4skgAmfSyJoyubzQoo,8vg5o39KJ6WSGSXBjNmjNGBu5seVFAqn2AgzDrTxkMMg,FgiB7urnNQtaUeR9o3XEM45ycnZbeL8cjaq5DjGUdgSQ,CifhBoAv8YcBgS1bKvFBTs2dhEFnEqZduHuxHNHAdse8
D5y5FYdc3bxeBcsa2KzM4TTyJPtLsiq9gAbXAWH1TvcC,AJDdwr53iaoyt3gzs8UR7RC6R1xJRWfDvMHJ4B7Udrbe,9HZQyam3wgSGKPyzVicooHCYErPPhpVoNNTSeGuvJw5x,73az49Zs4yut8k77RtZWRRCTk5TP1JsL3GvqUrCb2gLW
GJqfgGSBhjBSKL1gbubdrCYfmHpx4RHJJ13TfcoC7PXb,2zSjfANYmN6C4gKM6AcSYpNSX34BTH6FaJDHGbokXmcu,Hrc66o8HrJhdhLYXrTMxFUbokbmDKGtoNAULyxP5u1u3,AeS6WpNcc2RoGbbv5GLNM9sj6NzzppHX8zErXRm3CfhS
Efm2krVDnmLdmfFf21NAbHaopFPVex7938RXQVYsbN8C,7bJke94x6wqGFujuuQkVyg2DqQzt1oJe82MD8M72t3eP,61mU3aXVvzaU4DxAV2ardETyDz2hWA3gnrPWVvgiFVUz,CwKNFUBwsYV2gJBPyf8RgHbpKnEntFUvroNmkoy2eRBe
65u4YxrRVJaJJAsfj86LHvreqyAod93tt6Je4GgDXhc1,JAUuAamghqEcU9GExqmJ6g44bnMrjVHf7B9Q8VsxKF2P,3QP6imVnbtzGtfH56jbZjDEw5GQyXxV7Po9qwF2zPbZB,7oLFjRfUNj8uRNfCroX4Cvh7rL7yXMygsMN4RGa7EyB8
6EYqoaMUbUMsh3dTfLNMC9cfd7zYQgWNfz5r8Hnauwzc,EGPoArbjaD4v1BiJe1FnDfH15SqNn5psNCrdCWEDgNZj,EaNo2WffaTDiYJQJEWYyJBAmPcB5gCQAP6dcNLaRsi3g,87MER2LbFSKD9JNLsgd1vTcBhRLXTdkToxiJtR9tEQZt
CdAAwJceuiLGjpqrDCg9Mcw3b6uXyyXojL1jhxiQQZHT,8dQ5dYYXXDQU3hUqWLoVShEykxpz6CLMPC1TE4VLArRN,AcAwCsrPQjCEMrh4yeYFFP1svVNccqj7N5AcFLzo4pYC,HCF7PhuxzNvtCy7Xzo1aNUwTx9ChuXsaeNFUQHLDQY3G
BWc44yMWpE28b3fDCpbhYQH7svycErRwuZJ5pamaufaa,2yJ8sFqjW4c2sciXH218T2dvaFMzV2TU6FvfD9FKzhc1,9zLdynNJsv9HA4qmMCY3FeUHJ9ZAz2pP6epFo1GwJaMk,AACbfKaHjShDEYmgxvkxKr9Nq2xoT3mLM4evuBirwqSx
CbiyCcyDo4ZmvHQjmHNk1daQVbcZn4NCD5RqvT91tZuq,7Fjt8Wj43U668fvztSmScXfCguPwazqcqRexsBQrNfS1,7VSNGoXNuxvYpGgkiKcdqjsgaKCfA7yXAwacEbLgrXQ1,J3Wdd1GYr5iR1eQkXk13soeHm4tHNsvFVRsN6YdygEr2
4S1LZTtgkr3rs4hGf9pLBZcK68d6UrgLVuhv35jWcgUX,ECX7GYaLroL7D13QhkH6NfRAZ3suukW2B81MmsmcdaFX,3mJv4vTZs7P92pYoLAnbUQzfJhBHMSAfioR4jfKQq3kk,B2rqhbRduAibC1xZvzNHbUMnK93WsBdCeQgwTSsJ4Uww
8gyWnxGjQK1pP2qwBikeXwCpTdmLTAoH43eK3vMU9fwg,27Z9Y1RoeVoETekbrTcWmeMdwF9qtVhCg8hiaiyAtCzB,6HDc35jUogCEgFUoGaHgDoT1sf2JcHB34LtpdDmVpWJc,BEuSHxLpGSncicn3kLZ4RuhdgaZt9ikDX2HvAgDEXptd
